epoch  0 train_loss:7.938941, val_loss:7.966929, asu_loss:4.104630, size_loss:2.475825, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.138584, opcode:0.227650, cost_time: 0:01:32.520743
epoch  1 train_loss:7.842314, val_loss:8.114955, asu_loss:4.157713, size_loss:2.570768, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.042830, opcode:0.227650, cost_time: 0:01:33.081341
epoch  2 train_loss:7.815691, val_loss:7.996172, asu_loss:4.158572, size_loss:2.451125, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.042809, opcode:0.227650, cost_time: 0:01:32.858226
epoch  3 train_loss:7.738586, val_loss:8.011033, asu_loss:4.099137, size_loss:2.525422, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.138584, opcode:0.227650, cost_time: 0:01:32.902107
epoch  4 train_loss:7.720420, val_loss:7.943199, asu_loss:4.097424, size_loss:2.459300, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.134730, opcode:0.227650, cost_time: 0:01:33.228729
epoch  5 train_loss:7.718662, val_loss:7.966201, asu_loss:4.097180, size_loss:2.482547, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.134360, opcode:0.227650, cost_time: 0:01:33.056300
epoch  6 train_loss:7.707572, val_loss:7.922186, asu_loss:4.096826, size_loss:2.438886, opcode_loss:1.386290, time_diff_loss:0.000184, asu_accu:0.134345, opcode:0.227650, cost_time: 0:01:33.146727
epoch  7 train_loss:7.565975, val_loss:7.875278, asu_loss:4.105872, size_loss:2.521864, opcode_loss:1.247359, time_diff_loss:0.000184, asu_accu:0.124852, opcode:0.633440, cost_time: 0:01:32.829882
epoch  8 train_loss:7.487261, val_loss:7.811553, asu_loss:4.103336, size_loss:2.468194, opcode_loss:1.239839, time_diff_loss:0.000184, asu_accu:0.128311, opcode:0.626455, cost_time: 0:01:33.644634
epoch  9 train_loss:7.469610, val_loss:7.713588, asu_loss:4.105383, size_loss:2.390677, opcode_loss:1.217345, time_diff_loss:0.000184, asu_accu:0.125595, opcode:0.657931, cost_time: 0:01:32.797215
epoch 10 train_loss:7.456328, val_loss:7.783867, asu_loss:4.107661, size_loss:2.478898, opcode_loss:1.197124, time_diff_loss:0.000184, asu_accu:0.123126, opcode:0.685883, cost_time: 0:01:32.835569
epoch 11 train_loss:7.450395, val_loss:7.713679, asu_loss:4.104744, size_loss:2.393427, opcode_loss:1.215324, time_diff_loss:0.000184, asu_accu:0.126035, opcode:0.665097, cost_time: 0:01:34.270389
epoch 12 train_loss:7.445971, val_loss:7.670489, asu_loss:4.102505, size_loss:2.343507, opcode_loss:1.224293, time_diff_loss:0.000184, asu_accu:0.127113, opcode:0.656011, cost_time: 0:01:38.419880
epoch 13 train_loss:7.441012, val_loss:7.689187, asu_loss:4.106717, size_loss:2.359105, opcode_loss:1.223181, time_diff_loss:0.000184, asu_accu:0.121990, opcode:0.638478, cost_time: 0:01:35.937363
epoch 14 train_loss:7.437204, val_loss:7.666388, asu_loss:4.104453, size_loss:2.342829, opcode_loss:1.218921, time_diff_loss:0.000184, asu_accu:0.123424, opcode:0.657535, cost_time: 0:01:35.101839
epoch 15 train_loss:7.433513, val_loss:7.670688, asu_loss:4.102506, size_loss:2.357068, opcode_loss:1.210930, time_diff_loss:0.000184, asu_accu:0.124358, opcode:0.664979, cost_time: 0:01:36.263750
epoch 16 train_loss:7.430351, val_loss:7.667597, asu_loss:4.104029, size_loss:2.349452, opcode_loss:1.213932, time_diff_loss:0.000184, asu_accu:0.124136, opcode:0.656836, cost_time: 0:01:39.301439
epoch 17 train_loss:7.423931, val_loss:7.717655, asu_loss:4.106277, size_loss:2.384480, opcode_loss:1.226714, time_diff_loss:0.000184, asu_accu:0.122245, opcode:0.620001, cost_time: 0:01:41.365403
epoch 18 train_loss:7.418810, val_loss:7.692225, asu_loss:4.106344, size_loss:2.360195, opcode_loss:1.225502, time_diff_loss:0.000184, asu_accu:0.122027, opcode:0.616600, cost_time: 0:01:35.870028
epoch 19 train_loss:7.416605, val_loss:7.683299, asu_loss:4.101797, size_loss:2.356408, opcode_loss:1.224910, time_diff_loss:0.000184, asu_accu:0.122914, opcode:0.621496, cost_time: 0:01:37.457256
epoch 20 train_loss:7.414287, val_loss:7.662648, asu_loss:4.102091, size_loss:2.325272, opcode_loss:1.235101, time_diff_loss:0.000184, asu_accu:0.123310, opcode:0.601921, cost_time: 0:01:38.569904
epoch 21 train_loss:7.413941, val_loss:7.670346, asu_loss:4.100484, size_loss:2.338780, opcode_loss:1.230898, time_diff_loss:0.000184, asu_accu:0.123689, opcode:0.609908, cost_time: 0:01:39.046352
epoch 22 train_loss:7.413534, val_loss:7.654624, asu_loss:4.100520, size_loss:2.322224, opcode_loss:1.231697, time_diff_loss:0.000184, asu_accu:0.123751, opcode:0.608303, cost_time: 0:01:38.262593
epoch 23 train_loss:7.412150, val_loss:7.576770, asu_loss:4.099626, size_loss:2.263292, opcode_loss:1.213668, time_diff_loss:0.000184, asu_accu:0.121389, opcode:0.643825, cost_time: 0:01:38.512574
epoch 24 train_loss:7.410301, val_loss:7.631454, asu_loss:4.099064, size_loss:2.304385, opcode_loss:1.227821, time_diff_loss:0.000184, asu_accu:0.123447, opcode:0.619653, cost_time: 0:01:38.714884
epoch 25 train_loss:7.411958, val_loss:7.616328, asu_loss:4.101055, size_loss:2.294010, opcode_loss:1.221080, time_diff_loss:0.000184, asu_accu:0.121150, opcode:0.637316, cost_time: 0:01:38.064177
epoch 26 train_loss:7.406625, val_loss:7.649189, asu_loss:4.100522, size_loss:2.312414, opcode_loss:1.236069, time_diff_loss:0.000184, asu_accu:0.121971, opcode:0.614380, cost_time: 0:01:38.281167
epoch 27 train_loss:7.402178, val_loss:7.621122, asu_loss:4.099218, size_loss:2.298359, opcode_loss:1.223361, time_diff_loss:0.000184, asu_accu:0.122222, opcode:0.635551, cost_time: 0:01:38.232442
epoch 28 train_loss:7.399972, val_loss:7.581812, asu_loss:4.100889, size_loss:2.260019, opcode_loss:1.220720, time_diff_loss:0.000184, asu_accu:0.121176, opcode:0.636552, cost_time: 0:01:38.069796
epoch 29 train_loss:7.396689, val_loss:7.623111, asu_loss:4.101992, size_loss:2.293544, opcode_loss:1.227391, time_diff_loss:0.000184, asu_accu:0.120512, opcode:0.619073, cost_time: 0:01:38.580517
epoch 30 train_loss:7.396674, val_loss:7.632916, asu_loss:4.099435, size_loss:2.298620, opcode_loss:1.234677, time_diff_loss:0.000184, asu_accu:0.123094, opcode:0.622776, cost_time: 0:01:38.497280
epoch 31 train_loss:7.394801, val_loss:7.672763, asu_loss:4.099484, size_loss:2.335109, opcode_loss:1.237985, time_diff_loss:0.000184, asu_accu:0.124328, opcode:0.613565, cost_time: 0:01:38.355988
epoch 32 train_loss:7.393799, val_loss:7.646622, asu_loss:4.097497, size_loss:2.316468, opcode_loss:1.232473, time_diff_loss:0.000184, asu_accu:0.124799, opcode:0.618570, cost_time: 0:01:38.354509
epoch 33 train_loss:7.393138, val_loss:7.606587, asu_loss:4.098457, size_loss:2.280980, opcode_loss:1.226966, time_diff_loss:0.000184, asu_accu:0.123909, opcode:0.630459, cost_time: 0:01:38.766204
epoch 34 train_loss:7.391187, val_loss:7.641536, asu_loss:4.097174, size_loss:2.317913, opcode_loss:1.226266, time_diff_loss:0.000184, asu_accu:0.124669, opcode:0.634135, cost_time: 0:01:38.654906
epoch 35 train_loss:7.391002, val_loss:7.625002, asu_loss:4.098508, size_loss:2.306224, opcode_loss:1.220086, time_diff_loss:0.000184, asu_accu:0.123419, opcode:0.644176, cost_time: 0:01:38.387748
epoch 36 train_loss:7.387830, val_loss:7.577614, asu_loss:4.098270, size_loss:2.261075, opcode_loss:1.218085, time_diff_loss:0.000184, asu_accu:0.123892, opcode:0.651728, cost_time: 0:01:38.327161
epoch 37 train_loss:7.388781, val_loss:7.648062, asu_loss:4.097570, size_loss:2.326434, opcode_loss:1.223875, time_diff_loss:0.000184, asu_accu:0.124683, opcode:0.640364, cost_time: 0:01:39.745579
epoch 38 train_loss:7.387476, val_loss:7.633090, asu_loss:4.098102, size_loss:2.320122, opcode_loss:1.214682, time_diff_loss:0.000184, asu_accu:0.124777, opcode:0.651025, cost_time: 0:01:38.631239
epoch 39 train_loss:7.387496, val_loss:7.646887, asu_loss:4.098348, size_loss:2.329382, opcode_loss:1.218972, time_diff_loss:0.000184, asu_accu:0.125424, opcode:0.651765, cost_time: 0:01:38.845452
epoch 40 train_loss:7.386141, val_loss:7.607493, asu_loss:4.098373, size_loss:2.296576, opcode_loss:1.212360, time_diff_loss:0.000184, asu_accu:0.126251, opcode:0.664577, cost_time: 0:01:38.012825
epoch 41 train_loss:7.385205, val_loss:7.672116, asu_loss:4.098590, size_loss:2.358753, opcode_loss:1.214590, time_diff_loss:0.000184, asu_accu:0.124812, opcode:0.655893, cost_time: 0:01:39.313474
epoch 42 train_loss:7.384626, val_loss:7.649006, asu_loss:4.098186, size_loss:2.336214, opcode_loss:1.214422, time_diff_loss:0.000184, asu_accu:0.126771, opcode:0.665554, cost_time: 0:01:35.548634
epoch 43 train_loss:7.384398, val_loss:7.661651, asu_loss:4.098531, size_loss:2.358445, opcode_loss:1.204491, time_diff_loss:0.000184, asu_accu:0.126555, opcode:0.669614, cost_time: 0:01:34.602901
epoch 44 train_loss:7.384402, val_loss:7.631810, asu_loss:4.098139, size_loss:2.328657, opcode_loss:1.204830, time_diff_loss:0.000184, asu_accu:0.127002, opcode:0.669914, cost_time: 0:01:38.935455
epoch 45 train_loss:7.383488, val_loss:7.641192, asu_loss:4.097869, size_loss:2.337825, opcode_loss:1.205314, time_diff_loss:0.000184, asu_accu:0.127197, opcode:0.668810, cost_time: 0:01:39.008710
epoch 46 train_loss:7.381163, val_loss:7.647550, asu_loss:4.098694, size_loss:2.341560, opcode_loss:1.207112, time_diff_loss:0.000184, asu_accu:0.126455, opcode:0.667310, cost_time: 0:01:38.838073
epoch 47 train_loss:7.380918, val_loss:7.650466, asu_loss:4.097172, size_loss:2.352040, opcode_loss:1.201070, time_diff_loss:0.000184, asu_accu:0.127113, opcode:0.670110, cost_time: 0:01:38.602042
